ao,clave_ent,edo,homicidio,robocasa,robocalle,robocarro,extorsion,tasa_hom,tasa_rcasa,tasa_rcalle,tasa_rcarro,tasa_extor,desocupa,edad15a24,edad25a34,edad35a44,edad45mas,pob_tot,pibe,ingreso,pob_ext,pobreza
2019,22,Queretaro,504,3409,1614,4922,259,22.51,152.25,72.08,219.82,11.57,4.264211178,401667,385603,314465,545580,2239112,407773.375,,,
2015,23,Quintana Roo,571,3477,1606,852,116,37.45,228.02,105.32,55.87,7.61,4.00709486,291582,281351,226927,300964,1524873,244081.5,211087,5.55,32.32
2016,23,Quintana Roo,278,2104,594,932,41,17.76,134.45,37.96,59.56,2.62,3.108267069,295440,289189,232994,318303,1564920,261497.5938,220233,4.24,28.85
2017,23,Quintana Roo,497,2644,668,2280,77,30.96,164.7,41.61,142.02,4.8,3.154601097,298951,297133,239355,335980,1605362,272211.7188,226747,3.42,26.81
2018,23,Quintana Roo,936,2940,837,2292,126,56.89,178.7,50.87,139.31,7.66,2.721523046,302013,304758,245766,354118,1645237,286095.1563,223307,3.47,27.57
2019,23,Quintana Roo,1500,3299,1993,2889,276,89.05,195.84,118.31,171.5,16.38,3.09008193,304810,311957,252307,372630,1684541,285992.4688,,,
2015,24,San Luis Potosi,392,1250,616,903,141,14.21,45.32,22.33,32.74,5.11,2.874830008,507352,416060,355390,698519,2758239,329359.3438,156836,8.35,47.48
2016,24,San Luis Potosi,500,1611,778,1513,218,17.98,57.92,27.97,54.4,7.84,2.514844894,507516,422673,358505,717413,2781457,342065.0313,152542,7.68,45.52
2017,24,San Luis Potosi,712,2160,1062,2327,151,25.4,77.04,37.88,83,5.39,2.300894976,507487,429332,361082,735373,2803692,354677.9063,153145,7.37,43.92
2018,24,San Luis Potosi,899,1800,1234,3705,122,31.82,63.71,43.68,131.14,4.32,2.516093969,507150,435683,363727,753406,2825157,370089.9063,164805,7.33,43.4
2019,24,San Luis Potosi,853,1722,996,4084,121,29.97,60.51,35,143.5,4.25,2.60984993,506559,441573,366659,771426,2845959,366076.5938,,,
2015,25,Sinaloa,1404,577,5,4399,128,46.55,19.13,0.17,145.87,4.24,4.22465992,545815,462683,407431,785248,3015790,358848.3125,202316,4.34,35.97
2016,25,Sinaloa,1516,471,59,4784,104,49.71,15.45,1.93,156.88,3.41,3.816287994,547537,469649,410355,809510,3049383,376438.4063,196878,2.89,30.81
2017,25,Sinaloa,1839,408,24,6910,51,59.76,13.26,0.78,224.54,1.66,3.569705009,547971,476894,412389,833324,3077430,380987.6563,194855,1.97,27.81
2018,25,Sinaloa,1608,287,5,5637,64,51.79,9.24,0.16,181.57,2.06,3.262439966,547921,484017,414437,857161,3104610,390504.7813,202851,2.68,30.88
2019,25,Sinaloa,1407,415,94,4045,46,44.94,13.25,3,129.19,1.47,3.244016886,547569,490743,416777,880878,3131012,394848.5,,,
2015,26,Sonora,983,1334,0,4651,20,34.08,46.24,0,161.23,0.69,4.952919006,516482,454074,399733,726329,2884754,549606.8125,227822,2.75,28.85
2016,26,Sonora,1068,3084,368,3986,142,36.54,105.52,12.59,136.38,4.86,5.09661293,519453,461776,403856,750037,2922666,578945.375,239135,2.52,27.86
2017,26,Sonora,1149,904,303,4029,35,38.79,30.52,10.23,136.03,1.18,3.72637105,521963,470103,408361,775756,2961810,575986.4375,239507,2.52,27.33
2018,26,Sonora,1157,487,143,3471,10,38.57,16.23,4.77,115.7,0.33,3.675425053,524102,478230,412829,801696,3000127,581395.25,214927,2.63,28.19
2019,26,Sonora,1421,866,196,3020,16,46.78,28.51,6.45,99.42,0.53,4.354750156,526014,485982,417486,827743,3037752,577474,,,
2015,27,Tabasco,685,2509,9017,2251,171,28.23,103.41,371.64,92.78,7.05,6.715485096,441429,398603,334981,556357,2426269,562212.3125,159420,10.9,50.23
2016,27,Tabasco,699,2410,9057,3580,148,28.45,98.07,368.56,145.68,6.02,7.593050003,440264,404701,340129,576292,2457373,534685.5,155929,11.77,50.85
2017,27,Tabasco,888,2399,7658,5475,258,35.71,96.46,307.93,220.15,10.37,7.096745014,439031,409612,345123,596629,2486932,509388.375,151985,12.59,51.85
2018,27,Tabasco,1001,2299,6414,7007,331,39.79,91.38,254.94,278.51,13.16,7.249914169,438039,413895,350040,617336,2515926,468708.6875,146301,12.29,53.65
